pmid,news_mention,news_count,tier1,tier2,tier3,tier4
28269341,0.0,0.0,0.0,0.0,0.0,0.0
28269254,0.0,0.0,0.0,0.0,0.0,0.0
28269243,0.0,0.0,0.0,0.0,0.0,0.0
28269214,0.0,0.0,0.0,0.0,0.0,0.0
28269207,0.0,0.0,0.0,0.0,0.0,0.0
28269203,0.0,0.0,0.0,0.0,0.0,0.0
28269155,0.0,0.0,0.0,0.0,0.0,0.0
28269144,0.0,0.0,0.0,0.0,0.0,0.0
28269132,0.0,0.0,0.0,0.0,0.0,0.0
28269075,0.0,0.0,0.0,0.0,0.0,0.0
28269041,0.0,0.0,0.0,0.0,0.0,0.0
28269019,0.0,0.0,0.0,0.0,0.0,0.0
28268995,0.0,0.0,0.0,0.0,0.0,0.0
28268936,0.0,0.0,0.0,0.0,0.0,0.0
28268924,0.0,0.0,0.0,0.0,0.0,0.0
28268917,0.0,0.0,0.0,0.0,0.0,0.0
28268844,0.0,0.0,0.0,0.0,0.0,0.0
28268843,0.0,0.0,0.0,0.0,0.0,0.0
28268818,0.0,0.0,0.0,0.0,0.0,0.0
28268817,0.0,0.0,0.0,0.0,0.0,0.0
28268808,0.0,0.0,0.0,0.0,0.0,0.0
28268799,0.0,0.0,0.0,0.0,0.0,0.0
28268742,0.0,0.0,0.0,0.0,0.0,0.0
28268596,0.0,0.0,0.0,0.0,0.0,0.0
28268594,0.0,0.0,0.0,0.0,0.0,0.0
28268582,0.0,0.0,0.0,0.0,0.0,0.0
28268557,0.0,0.0,0.0,0.0,0.0,0.0
28268556,0.0,0.0,0.0,0.0,0.0,0.0
28268555,0.0,0.0,0.0,0.0,0.0,0.0
28268510,0.0,0.0,0.0,0.0,0.0,0.0
28268509,0.0,0.0,0.0,0.0,0.0,0.0
28268388,0.0,0.0,0.0,0.0,0.0,0.0
28268346,0.0,0.0,0.0,0.0,0.0,0.0
28268335,0.0,0.0,0.0,0.0,0.0,0.0
28262473,1.0,1.0,0.0,0.0,1.0,0.0
28262205,0.0,0.0,0.0,0.0,0.0,0.0
28250007,0.0,0.0,0.0,0.0,0.0,0.0
28250006,0.0,0.0,0.0,0.0,0.0,0.0
28245158,0.0,0.0,0.0,0.0,0.0,0.0
28244423,0.0,0.0,0.0,0.0,0.0,0.0
28244420,0.0,0.0,0.0,0.0,0.0,0.0
28244419,0.0,0.0,0.0,0.0,0.0,0.0
28244417,0.0,0.0,0.0,0.0,0.0,0.0
28244416,0.0,0.0,0.0,0.0,0.0,0.0
28244415,0.0,0.0,0.0,0.0,0.0,0.0
28244413,0.0,0.0,0.0,0.0,0.0,0.0
28244411,0.0,0.0,0.0,0.0,0.0,0.0
28244407,0.0,0.0,0.0,0.0,0.0,0.0
28241734,0.0,0.0,0.0,0.0,0.0,0.0
28240214,0.0,0.0,0.0,0.0,0.0,0.0
28239531,0.0,0.0,0.0,0.0,0.0,0.0
28233473,0.0,0.0,0.0,0.0,0.0,0.0
28228317,0.0,0.0,0.0,0.0,0.0,0.0
28221941,0.0,0.0,0.0,0.0,0.0,0.0
28221346,1.0,2.0,0.0,0.0,2.0,0.0
28215534,0.0,0.0,0.0,0.0,0.0,0.0
28215532,0.0,0.0,0.0,0.0,0.0,0.0
28215530,0.0,0.0,0.0,0.0,0.0,0.0
28215307,0.0,0.0,0.0,0.0,0.0,0.0
28215225,0.0,0.0,0.0,0.0,0.0,0.0
28215223,0.0,0.0,0.0,0.0,0.0,0.0
28215221,0.0,0.0,0.0,0.0,0.0,0.0
28213009,0.0,0.0,0.0,0.0,0.0,0.0
28213008,0.0,0.0,0.0,0.0,0.0,0.0
28213007,0.0,0.0,0.0,0.0,0.0,0.0
28213006,0.0,0.0,0.0,0.0,0.0,0.0
28213005,0.0,0.0,0.0,0.0,0.0,0.0
28213004,1.0,54.0,1.0,48.0,4.0,1.0
28213000,0.0,0.0,0.0,0.0,0.0,0.0
28212999,0.0,0.0,0.0,0.0,0.0,0.0
28212998,0.0,0.0,0.0,0.0,0.0,0.0
28212995,0.0,0.0,0.0,0.0,0.0,0.0
28212993,1.0,1.0,0.0,0.0,1.0,0.0
28212992,0.0,0.0,0.0,0.0,0.0,0.0
28212991,0.0,0.0,0.0,0.0,0.0,0.0
28212972,0.0,0.0,0.0,0.0,0.0,0.0
28212809,0.0,0.0,0.0,0.0,0.0,0.0
28211759,0.0,0.0,0.0,0.0,0.0,0.0
28209443,1.0,18.0,0.0,3.0,13.0,1.0
28209257,0.0,0.0,0.0,0.0,0.0,0.0
28205343,0.0,0.0,0.0,0.0,0.0,0.0
28205266,0.0,0.0,0.0,0.0,0.0,0.0
28198198,0.0,0.0,0.0,0.0,0.0,0.0
28188067,0.0,0.0,0.0,0.0,0.0,0.0
28186949,0.0,0.0,0.0,0.0,0.0,0.0
28186936,1.0,1.0,1.0,0.0,0.0,0.0
28186928,0.0,0.0,0.0,0.0,0.0,0.0
28185532,0.0,0.0,0.0,0.0,0.0,0.0
28185531,0.0,0.0,0.0,0.0,0.0,0.0
28185529,0.0,0.0,0.0,0.0,0.0,0.0
28183451,0.0,0.0,0.0,0.0,0.0,0.0
28178640,0.0,0.0,0.0,0.0,0.0,0.0
28173075,0.0,0.0,0.0,0.0,0.0,0.0
28171663,0.0,0.0,0.0,0.0,0.0,0.0
28171546,0.0,0.0,0.0,0.0,0.0,0.0
28164807,0.0,0.0,0.0,0.0,0.0,0.0
28159992,0.0,0.0,0.0,0.0,0.0,0.0
28159415,0.0,0.0,0.0,0.0,0.0,0.0
28157672,0.0,0.0,0.0,0.0,0.0,0.0
28157483,0.0,0.0,0.0,0.0,0.0,0.0
28155664,0.0,0.0,0.0,0.0,0.0,0.0
28155658,0.0,0.0,0.0,0.0,0.0,0.0
28155657,0.0,0.0,0.0,0.0,0.0,0.0
28155652,0.0,0.0,0.0,0.0,0.0,0.0
28155650,0.0,0.0,0.0,0.0,0.0,0.0
28148777,0.0,0.0,0.0,0.0,0.0,0.0
28148676,0.0,0.0,0.0,0.0,0.0,0.0
