altmetric_id,title,country,tiers
frankfurter_allgemeine,"Frankfurter Allgemeine",DE,tier2
der_standard,"Der Standard",AT,tier2
world_news_sbs,"World News SBS",AU,tier2
sciencenordic,ScienceNordic,DK,tier3
forskning_no,forskning.no,NO,tier3
asutralian_doctor,"Australian Doctor",AU,tier3
the_guardian_charlottetown,"The Guardian (Charlottetown)",CA,tier2
chemieonline,ChemieOnline,DE,tier3
infection_control_today,"Infection Control Today",US,tier3
science_newsline,"Science Newsline",JP,tier3
vaccine_news,"Vaccine News",US,tier3
ohio_com,"Akron Beacon Journal Online - Ohio.com",US,tier2
mens_health,"Men's Health",US,tier3
ivillage,iVillage,US,tier3
long_island_newsday,"Long Island Newsday",US,tier2
js_online_milwaukee_wisconsin_journal_sentinel,"JS Online - Milwaukee-Wisconsin Journal Sentinel",US,tier2
longevity_magazine,"Longevity Magazine",ZA,tier3
runners_world,"Runner's World",US,tier3
sci_tech_today,"Sci-Tech Today",US,tier3
science_fare,"Science Fare",CA,tier3
laborwelt,Laborwelt,DE,tier3
potsdamer_neueste_nachrichten,"Potsdamer Neueste Nachrichten",DE,tier2
science_illustrated,"Science Illustrated",AU,tier3
the_nation,"The Nation",US,tier2
bermuda_sun,"Bermuda Sun",BM,tier2
medpage_today,"MedPage Today",US,tier3
american_news_report,"American News Report",US,tier2
the_epoch_times,"The Epoch Times",US,tier2
the_deseret_news,"The Deseret News",US,tier2
business_news_daily,"Business News Daily",US,tier3
quartz,Quartz,US,tier2
babble,Babble,US,tier3
arizona_daily_star,"Arizona Daily Star",US,tier2
business_insider,"Business Insider",US,tier3
south_coast_today,"South Coast Today",US,tier2
wcf_courier,"WCF Courier",US,tier2
itv_news,"ITV News",GB,tier2
bloomberg_businessweek,"Bloomberg Businessweek",US,tier1
ultima_hora,"Ultima Hora",ES,tier2
cornell_chronicle,"Cornell Chronicle",US,tier3
r_d_csic,"R+D CSIC",ES,tier3
aeon_magazine,"Aeon Magazine",GB,tier3
the_wellington_advertiser,"The Wellington Advertiser",CA,tier2
nbc_news,"NBC News",US,tier1
ria_novosti,"РИА Новости",RU,tier2
the_columbian,"The Columbian",US,tier2
